name,level,value,computedValue,fallback,feedbackValue,deprecatedComment,value.font-family,value.font-weight,value.line-height,value.font-size,value.letter-spacing,computedValue.font-family,computedValue.font-weight,computedValue.line-height,computedValue.font-size,computedValue.letter-spacing
sys.color.bg.positive.stronger,sys,{base.palette.green.800},oklch(0.3955 0.1156 147.66 / 1),,,Use sys.color.brand.accent.positive instead with sys.color.accent.overlay.pressed,,,,,,,,,,
sys.color.bg.caution.softest,sys,{base.palette.amber.25},oklch(0.9779 0.0214 95.33 / 1),,,Use sys.color.brand.surface.caution.default tokens instead,,,,,,,,,,
sys.color.bg.caution.softer,sys,{base.palette.amber.50},oklch(0.969 0.0619 101.63 / 1),,,Use sys.color.brand.surface.caution.strong tokens instead,,,,,,,,,,
sys.color.bg.caution.soft,sys,{base.palette.amber.100},oklch(0.9567 0.0948 100.22 / 1),,,Use sys.color.surface.warning.default tokens instead,,,,,,,,,,
sys.color.bg.caution.default,sys,{base.palette.amber.400},oklch(0.7909 0.1711 70.15 / 1),,,Use sys.color.brand.accent.caution instead,,,,,,,,,,
sys.color.bg.caution.strong,sys,{base.palette.amber.500},oklch(0.6601 0.1537 60.7 / 1),,,Use sys.color.brand.accent.caution instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.bg.caution.stronger,sys,{base.palette.amber.600},oklch(0.5505 0.1439 50.78 / 1),,,Use sys.color.brand.accent.caution instead with sys.color.accent.overlay.pressed,,,,,,,,,,
sys.color.bg.critical.softest,sys,{base.palette.red.25},oklch(0.9667 0.0163 21.82 / 1),,,Use sys.color.brand.surface.critical.default tokens instead,,,,,,,,,,
sys.color.bg.critical.softer,sys,{base.palette.red.50},oklch(0.9533 0.0231 23.95 / 1),,,Use sys.color.brand.surface.critical.strong tokens instead,,,,,,,,,,
sys.color.bg.critical.soft,sys,{base.palette.red.100},oklch(0.9225 0.0394 25.51 / 1),,,Use sys.color.surface.danger.default tokens instead,,,,,,,,,,
sys.color.bg.critical.default,sys,{base.palette.red.600},oklch(0.5342 0.2172 29.53 / 1),,,Use sys.color.brand.accent.critical instead,,,,,,,,,,
sys.color.bg.critical.strong,sys,{base.palette.red.700},oklch(0.4517 0.1847 28.2 / 1),,,Use sys.color.brand.accent.critical instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.bg.critical.stronger,sys,{base.palette.red.800},oklch(0.3712 0.1509 26.08 / 1),,,Use sys.color.brand.accent.critical instead with sys.color.accent.overlay.pressed,,,,,,,,,,
